X,Y,I,O
40.78524672,-73.97667321,3192,3125
40.7785669,-73.97754961,2350,2321
40.77750703,-73.98888588,3592,3588
40.77748046,-73.98288594,331,324
40.77452835,-73.98753759,2814,2634
40.7867947,-73.977112,2827,2294
40.78414472,-73.98362492,2220,2190
40.698617,-73.941342,464,467
40.69878,-73.99712,2154,2137
40.686931,-74.016966,1367,1361
40.743,-73.93561,476,489
40.75899656,-73.96865398,5123,5086
40.78275,-73.97137,3426,2909
40.68962189,-73.98304269,2492,2980
40.75724568,-73.97805914,5965,6024
40.75216528,-73.97992194,5434,5462
40.75898481,-73.99379969,4349,4261
40.75903008,-73.9938587,33,29
40.686203,-73.944694,825,808
40.69102926,-73.99183363,1780,1798
40.75892386,-73.96226227,3030,3045
40.73143724,-73.99490342,3182,3192
40.68035608,-73.9476791,831,833
40.69231661,-74.01486576,1754,1768
40.75058535,-73.99468482,4821,4821
40.72771408,-74.01129574,7204,7273
40.75018156,-74.00218427,6452,6517
40.72706363,-73.99662137,5750,5815
40.72951496,-73.9907527,7847,7730
40.78307,-73.95939,5456,5525
40.7882213,-73.97041561,2888,2426
40.7814107,-73.95595908,1307,1327
40.78839,-73.9747,2755,2591
40.79017948,-73.97288918,1461,1465
40.7857851,-73.957481,1846,1885
40.7921,-73.9739,2083,2075
40.7835016,-73.955327,1308,1310
40.79127,-73.964839,4296,3750
40.78245418,-73.94891962,1411,1531
40.6686627,-73.97988067,893,838
40.686371,-73.99383324,1329,1344
40.78813,-73.95206,357,356
40.66514682,-73.97637606,1684,1675
40.7919557,-73.968087,3468,3253
40.7969347,-73.96434123,598,432
40.6849894,-73.99440329,1022,1031
40.668127,-73.98377641,1262,1255
40.7811223,-73.94965589,3387,3442
40.6662078,-73.98199886,1227,1160
40.7941654,-73.974124,1684,1703
40.6861758,-73.99645295,1371,1382
40.7859201,-73.94860294,540,552
40.663779,-73.98396846,1214,1145
40.68763155,-74.0016256,1199,1244
40.7817212,-73.94594,1800,1847
40.6663181,-73.9854617,829,799
40.7937704,-73.971888,2891,2831
40.6847514,-73.99917254,1788,1797
40.7989937,-73.96621738,1046,827
40.6686273,-73.98700053,714,705
40.7839636,-73.9471673,2595,2691
40.666287,-73.98895053,1108,1115
40.79406661,-73.96286845,2426,2349
40.6831164,-73.99785267,1285,1255
40.668603,-73.9904394,603,632
40.7981856,-73.9605909,2148,2043
40.6685455,-73.99333264,624,722
40.67434,-74.00194698,260,267
40.7877214,-73.94728331,365,351
40.795,-73.9645,1607,1532
40.6829151,-73.99318208,1381,1400
40.6725058,-74.00494695,198,217
40.8013434,-73.97114574,1858,1853
40.68199044,-73.99079025,877,885
40.6747055,-74.0075572,51,139
40.6772744,-73.98282002,1877,2077
40.787801,-73.953559,1927,1949
40.67363551,-74.01195556,348,388
40.7862586,-73.94552579,730,736
40.6765304,-73.97846879,960,972
40.6753274,-74.0100698,294,316
40.795346,-73.96186,1499,1270
40.6777748,-74.0094613,290,365
40.7997568,-73.96211287,997,867
40.679043,-74.011169,905,1032
40.78948542,-73.95242929,1067,1073
40.67514684,-73.97523209,2021,2018
40.6773429,-74.01275056,677,825
40.677236,-74.015665,606,625
40.6729679,-73.97087984,2698,2499
40.7973721,-73.97041192,2463,2421
40.7869946,-73.94164802,1819,1840
40.67267243,-74.00879525,385,436
40.668132,-73.97363831,2314,2054
40.7746671,-73.98470567,1786,1725
40.8008363,-73.96644925,1518,1409
40.6711978,-73.97484126,1245,1155
40.7691572,-73.96703464,2088,2098
40.7829391,-73.9786517,3310,3226
40.6740886,-73.9787282,1348,1345
40.7781314,-73.96069399,2552,2549
40.7904828,-73.95033068,686,690
40.6751622,-73.9814832,1244,1258
40.6703837,-73.97839676,1769,1729
40.8021174,-73.96818053,1522,1269
40.7922553,-73.95249933,2330,2344
40.6728155,-73.98352355,1607,1650
40.7724607,-73.9468208,1593,1603
40.7727966,-73.95577801,1771,1764
40.67461342,-73.98501143,630,673
40.7689738,-73.95482273,2986,2995
40.6750705,-73.98775226,1474,1617
40.799484,-73.955613,3959,4080
40.7699426,-73.96060712,1236,1229
40.76471852,-73.9622207,1524,1522
40.6786115,-73.99037292,1401,1409
40.773763,-73.96222088,764,779
40.7903051,-73.94755757,962,969
40.6777287,-73.99364123,689,747
40.680611,-73.99475825,2178,2219
40.804213,-73.96699104,2000,1798
40.6787242,-73.99599099,1318,1339
40.6809591,-73.99905709,1164,1161
40.7934337,-73.94945003,631,637
40.6828003,-73.99990419,1119,1119
40.6830456,-74.00348559,1187,1200
40.79329668,-73.9432083,628,636
40.7892529,-73.93956237,535,567
40.6812117,-74.00860912,411,508
40.6794327,-74.00785041,372,391
40.6769993,-74.00647134,134,144
40.6783563,-74.00014502,1159,1175
40.6763947,-73.99869893,1014,1029
40.6746957,-73.99785768,1345,1425
40.67260298,-73.98983002,638,673
40.7961535,-73.94782145,1344,1364
40.6724811,-73.99331394,427,448
40.6902375,-73.99203074,2880,2878
40.6705135,-73.98876585,976,1110
40.6704922,-73.98541675,918,917
40.6704836,-73.98208968,760,744
40.679098,-73.98765475,1301,1396
40.6881529,-73.99520919,1717,1719
40.6867443,-73.99063168,3985,4258
40.6864442,-73.98759104,1282,1310
40.6849668,-73.98620772,1536,1564
40.6853761,-73.98302136,1163,1159
40.6827549,-73.98258555,1025,1033
40.68094472,-73.97567332,1575,1590
40.6793307,-73.97519523,1195,1188
40.6795766,-73.97854971,1583,1622
40.6750207,-73.97111473,2248,1908
40.6792788,-73.98154004,1173,1291
40.6802133,-73.98432695,1384,1430
40.6843549,-73.98901629,497,506
40.6859296,-74.00242364,1304,1375
40.66106337,-73.97945255,3528,3538
40.791976,-73.945993,567,590
40.7892105,-73.94370784,1057,1085
40.72430527,-73.99600983,6604,6568
40.68506807,-73.9779076,4439,4421
40.71907891,-73.9422369,1370,1362
40.746524,-73.977885,3238,3246
40.66906014,-73.99463654,28,99
40.79025417,-73.9771834,359,341
40.718822,-73.99596,7312,7250
40.79313481,-73.97700369,1992,2027
40.77224854,-73.95842135,1644,1634
40.69241829,-73.98949474,3109,3129
40.752957,-74.00264,531,537
40.76132983,-73.97982001,1463,1686
40.76703432,-73.9562273,402,408
40.72146256,-73.94800901,716,710
40.71915572,-73.94885391,1050,1058
40.71335226,-73.94910336,620,621
40.71036854,-73.94705951,1039,1063
40.68680821,-73.98036182,294,307
40.71638032,-73.94821286,422,416
40.76302594,-73.97209525,2552,2569
40.76309387,-73.97835016,601,596
40.75763228,-73.96930575,3207,3206
40.71485151,-74.01122332,4046,4184
40.75118387,-73.97138715,2467,2490
40.73536706,-73.98797393,3911,3893
40.75668721,-73.98257732,4294,4294
40.72494672,-74.00165856,5104,5438
40.7303801,-73.9747502,34,64
40.73181402,-73.95995021,872,881
40.74275383,-74.00747359,4813,5363
40.7252557,-74.00412083,4257,4360
40.65539977,-74.01062787,360,420
40.65708867,-74.00870204,1073,1197
40.6851256,-74.02535319,1111,1100
40.725208,-73.974724,6,12
40.68841743,-73.98451656,2317,2313
40.71069995,-74.00354147,1282,1298
40.796879,-73.937261,436,451
40.79747,-73.93504,563,571
40.8005385,-73.9419949,219,227
40.799139,-73.9389152,482,493
40.797911,-73.9423,513,515
40.7945663,-73.9362541,447,449
40.7923272,-73.9383,1225,1254
40.7949879,-73.9333349,1297,1323
40.7974772,-73.9311847,339,344
40.8006721,-73.9349,337,345
40.7989445,-73.944846,434,438
40.8014866,-73.9442507,446,449
40.7954121,-73.9441232,580,584
40.80295,-73.942954,362,362
40.8029263,-73.9379,539,558
40.805726,-73.936322,250,252
40.8013066,-73.9398167,352,371
40.8045555,-73.9396861,2304,2344
40.809725,-73.953149,1525,1576
40.8011939,-73.9500739,863,890
40.8078316,-73.949373,787,813
40.802535,-73.9532423,674,703
40.7747175,-73.9337894,102,137
40.774645,-73.923706,407,414
40.7767,-73.927631,779,783
40.774591,-73.918544,561,567
40.7699176,-73.9184057,1189,1170
40.7711528,-73.9170074,706,703
40.808442,-73.9452087,1405,1483
40.804372,-73.951475,584,620
40.7987859,-73.9523,2664,2706
40.7701477,-73.9120938,461,457
40.7729,-73.916142,525,517
40.7774552,-73.9225403,653,650
40.776165,-73.9153175,256,269
